2019-06-11 21:59:39: Turning Off Copy Attributes, as one of file systems does not support it
2019-06-11 21:59:39: Turning Off Copy Symbolic Links, as one of file systems does not support it. You may want to consider using Job -> Options -> Advanced -> Links -> Drill Down, if you need to copy folder to which the link points
2019-06-11 21:59:40: -- 分析开始 User Command
2019-06-11 22:00:13: 变更：279， 冲突：0， 复制时间：0， 复制状态：0， 错误： 0, All: 405
2019-06-11 22:00:13: Left to Right: Copy File: 279 
2019-06-11 22:00:13: -- 分析已结束。历时 00:00:34, 速度： 11 文件/秒
2019-06-11 22:00:13: 
2019-06-11 22:00:22: == 同步开始由 User Command
2019-06-11 22:01:16: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Thin.eot' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Thin.eot' (21,659)
2019-06-11 22:01:17: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Thin.ttf' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Thin.ttf' (127,584)
2019-06-11 22:01:18: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Thin.woff' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Thin.woff' (61,628)
2019-06-11 22:01:19: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Thin.woff2' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Thin.woff2' (48,524)
2019-06-11 22:01:20: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/style.css' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/style.css' (73,938)
2019-06-11 22:01:21: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/img/alipay.jpg' -> 'ftp://vhost521.cloudvhost.cn/WEB/img/alipay.jpg' (22,420)
2019-06-11 22:01:22: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/img/avatar.jpg' -> 'ftp://vhost521.cloudvhost.cn/WEB/img/avatar.jpg' (8,209)
2019-06-11 22:01:22: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/img/brand.jpg' -> 'ftp://vhost521.cloudvhost.cn/WEB/img/brand.jpg' (33,276)
2019-06-11 22:01:23: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/img/cc.png' -> 'ftp://vhost521.cloudvhost.cn/WEB/img/cc.png' (444)
2019-06-11 22:01:24: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/img/img-err.png' -> 'ftp://vhost521.cloudvhost.cn/WEB/img/img-err.png' (2,646)
